nombre,latitud,longitud,dependencia,turno,nivel,foto_url,telefono,url,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre
Republica Del Perú,-16.506560769893,-68.128680959344,fiscal,tarde,primaria secundaria,,2442836 60149649,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462,2019,228,109,119,215,104,111,10,3,7,3,2,1
Republica Del Perú,-16.506560769893,-68.128680959344,fiscal,tarde,primaria secundaria,,2442836 60149649,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462,2020,267,132,135,0,0,0,0,0,0,0,0,0
Republica Del Perú,-16.506560769893,-68.128680959344,fiscal,tarde,primaria secundaria,,2442836 60149649,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462,2021,295,150,145,257,134,123,7,3,4,31,13,18
Republica Del Perú,-16.506560769893,-68.128680959344,fiscal,tarde,primaria secundaria,,2442836 60149649,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462,2022,279,153,126,246,143,103,21,4,17,12,6,6
Republica Del Perú,-16.506560769893,-68.128680959344,fiscal,tarde,primaria secundaria,,2442836 60149649,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730462,2023,252,138,114,226,126,100,17,7,10,9,5,4
Max Paredes 1,-16.506560769893,-68.128680959344,fiscal,mañana,primaria,,2442802 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,2018,0,0,0,0,0,0,0,0,0,0,0,0
Max Paredes 1,-16.506560769893,-68.128680959344,fiscal,mañana,primaria,,2442802 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,2019,277,147,130,272,147,125,0,0,0,5,0,5
Max Paredes 1,-16.506560769893,-68.128680959344,fiscal,mañana,primaria,,2442802 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,2020,293,151,142,0,0,0,0,0,0,0,0,0
Max Paredes 1,-16.506560769893,-68.128680959344,fiscal,mañana,primaria,,2442802 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,2021,305,166,139,302,165,137,3,1,2,0,0,0
Max Paredes 1,-16.506560769893,-68.128680959344,fiscal,mañana,primaria,,2442802 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,2022,290,162,128,288,162,126,2,0,2,0,0,0
Max Paredes 1,-16.506560769893,-68.128680959344,fiscal,mañana,primaria,,2442802 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730587,2023,260,136,124,260,136,124,0,0,0,0,0,0
Beata Placida 1,-16.5076007843018,-68.127815246582,fiscal,tarde,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,2018,0,0,0,0,0,0,0,0,0,0,0,0
Beata Placida 1,-16.5076007843018,-68.127815246582,fiscal,tarde,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,2019,94,55,39,93,55,38,0,0,0,1,0,1
Beata Placida 1,-16.5076007843018,-68.127815246582,fiscal,tarde,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,2020,115,62,53,0,0,0,0,0,0,0,0,0
Beata Placida 1,-16.5076007843018,-68.127815246582,fiscal,tarde,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,2021,111,56,55,109,55,54,0,0,0,2,1,1
Beata Placida 1,-16.5076007843018,-68.127815246582,fiscal,tarde,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,2022,76,39,37,76,39,37,0,0,0,0,0,0
Beata Placida 1,-16.5076007843018,-68.127815246582,fiscal,tarde,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730501,2023,69,38,31,69,38,31,0,0,0,0,0,0
Simon Rodriguez Carreño B,-16.4756901,-68.1210189,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 72537125,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,2018,0,0,0,0,0,0,0,0,0,0,0,0
Simon Rodriguez Carreño B,-16.4756901,-68.1210189,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 72537125,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,2019,730,371,359,723,367,356,0,0,0,7,4,3
Simon Rodriguez Carreño B,-16.4756901,-68.1210189,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 72537125,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,2020,723,354,369,0,0,0,0,0,0,0,0,0
Simon Rodriguez Carreño B,-16.4756901,-68.1210189,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 72537125,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,2021,708,346,362,704,344,360,1,1,0,3,1,2
Simon Rodriguez Carreño B,-16.4756901,-68.1210189,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 72537125,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,2022,686,318,368,679,314,365,2,2,0,5,2,3
Simon Rodriguez Carreño B,-16.4756901,-68.1210189,fiscal,tarde,primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F491a3eb7-99d2-40dc-95fb-a2597feb3efc%2Fpt_hernando_siles__20250328_170402_6508123048890620161-19_6_7.jpg,2210282 72537125,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730678,2023,691,307,384,680,302,378,2,1,1,9,4,5
Beata Placida 2,-16.5076007843018,-68.127815246582,privado,mañana,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,2018,0,0,0,0,0,0,0,0,0,0,0,0
Beata Placida 2,-16.5076007843018,-68.127815246582,privado,mañana,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,2019,335,167,168,333,165,168,0,0,0,2,2,0
Beata Placida 2,-16.5076007843018,-68.127815246582,privado,mañana,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,2020,361,200,161,0,0,0,0,0,0,0,0,0
Beata Placida 2,-16.5076007843018,-68.127815246582,privado,mañana,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,2021,260,149,111,259,149,110,0,0,0,1,0,1
Beata Placida 2,-16.5076007843018,-68.127815246582,privado,mañana,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,2022,214,111,103,211,109,102,0,0,0,3,2,1
Beata Placida 2,-16.5076007843018,-68.127815246582,privado,mañana,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,2023,249,127,122,247,126,121,0,0,0,2,1,1
