rude,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre
80730433,2023,917,450,467,870,436,434,45,14,31,2,0,2
80730480,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730480,2019,469,249,220,467,248,219,0,0,0,2,1,1
80730480,2020,446,228,218,0,0,0,0,0,0,0,0,0
80730480,2021,519,255,264,516,254,262,0,0,0,3,1,2
80730480,2022,536,275,261,534,274,260,1,0,1,1,1,0
80730480,2023,539,284,255,537,282,255,0,0,0,2,2,0
80730331,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730331,2019,344,183,161,335,179,156,8,3,5,1,1,0
80730331,2020,345,183,162,0,0,0,0,0,0,0,0,0
80730331,2021,348,186,162,336,185,151,12,1,11,0,0,0
80730331,2022,364,200,164,357,200,157,6,0,6,1,0,1
80730331,2023,416,222,194,407,219,188,8,3,5,1,0,1
80730333,2018,0,0,0,0,0,0,0,0,0,0,0,0
80730333,2019,316,161,155,305,157,148,3,0,3,8,4,4
80730333,2020,309,165,144,0,0,0,0,0,0,0,0,0
80730333,2021,308,162,146,262,139,123,43,22,21,3,1,2
80730333,2022,298,155,143,276,147,129,16,6,10,6,2,4
80730333,2023,287,148,139,262,139,123,17,3,14,8,6,2
