,nombre,latitud,longitud,dependencia,turno,nivel,foto_url,telefono,url,año,matricula_total,matricula_mujer,matricula_hombre,promovidos_total,promovidos_mujer,promovidos_hombre,reprobados_total,reprobados_mujer,reprobados_hombre,abandono_total,abandono_mujer,abandono_hombre,rude
65,Beata Placida 2,-16.5076007843018,-68.127815246582,privado,mañana,inicial,,2440658 70190689,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730725,2023,249,127,122,247,126,121,0,0,0,2,1,1,80730725
71,Claudio Sanjines,-16.50779914856,-68.129577636719,fiscal,tarde,primaria secundaria,,79601843 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730469,2023,661,279,382,620,264,356,27,6,21,14,9,5,80730469
77,Bolivia Ii,-16.50779914856,-68.129577636719,fiscal,noche,secundaria,,65100910 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730630,2023,59,21,38,37,12,25,14,4,10,8,5,3,80730630
83,Simon Rodriguez Carreño,-16.4756901,-68.1210189,fiscal,tarde,secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F7f846bbc-b8af-4fa5-9712-5fd1287e1f85%2Fpt_simon_rodriguez__20250328_170439_8030783753906404031-19_10_17.jpg,2213549 71561702,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730561,2023,751,378,373,694,357,337,39,13,26,18,8,10,80730561
89,Macario Pinilla,-16.5081996917725,-68.1313323974609,fiscal,mañana,inicial,,2440822 69844888,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730466,2023,405,205,200,404,205,199,0,0,0,1,0,1,80730466
95,Juancito Pinto,-16.5081996917725,-68.1313323974609,fiscal,tarde,inicial,,2441834 76293311,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730467,2023,203,100,103,197,100,97,0,0,0,6,0,6,80730467
101,Desmaissieres Rr Adoratrices,-16.508499145508,-68.132049560547,privado,mañana,inicial primaria secundaria,,2415656 2004322,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730487,2023,531,298,233,530,297,233,1,1,0,0,0,0,80730487
107,Cidei,-16.5097968241642,-68.128564953804,privado,mañana,inicial,, ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730896,2023,58,28,30,53,25,28,0,0,0,5,3,2,80730896
113,Nuestra Señora De Fatima,-16.4761652,-68.1211524,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Ff9442c53-e845-4306-b337-dc4ab81eee6f%2Fpt_liceo_20250328_170540_1324240897907538514-19_13_26.jpg,2210762 77213385,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730248,2023,470,230,240,462,227,235,3,1,2,5,2,3,80730248
119,Republica De Colombia,-16.508499145508,-68.126983642578,fiscal,tarde,primaria secundaria,,22443913 70568478,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730463,2023,373,185,188,367,184,183,4,1,3,2,0,2,80730463
125,Republica Del Ecuador,-16.508499145508,-68.126983642578,fiscal,mañana,primaria secundaria,,2442811 ,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730464,2023,574,285,289,561,282,279,9,2,7,4,1,3,80730464
131,Santa Rosa La Florida A,-16.545753923568427,-68.091560463471,fiscal,mañana,inicial primaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2F570e4af9-b0ef-4d96-9161-d0ef266e2829%2F1000043239-19_15_22.jpg,2771320 70102443,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730334,2023,373,197,176,366,195,171,2,0,2,5,2,3,80730334
137,La Salle B,-16.548492022158598,-68.08968951999174,privado,mañana,inicial primaria secundaria,https://kc.kobotoolbox.org/media/original?media_file=andreschirinos%2Fattachments%2F1da2d6884660450ca3ea71e7b896b29e%2Fbe205508-21ed-4121-92c3-36c17ffbfa31%2FCaptura_de_pantalla_2025-04-03_080957-8_11_27.png,2795274 2791725,https://seie.minedu.gob.bo/reportes/mapas_unidades_educativas/ficha/ver/80730715,2023,1254,647,607,1245,643,602,4,2,2,5,2,3,80730715
